features,test_dataset,trained_on,metric,variant_score,session,diff,t,p,n_splits,p_holm,variant
hr_hrv_eda,UBFC-Phys,within_dataset,auroc,0.9496,0.9518,-0.0022,-0.1031,0.919,20,1.0,causal
hr_hrv_eda,UBFC-Phys,other_datasets_only,balanced_accuracy,0.7423,0.8373,-0.095,-2.8014,0.0114,20,0.6719,causal
hr_hrv_eda,UBFC-Phys,other_datasets_only,auroc,0.9439,0.904,0.0399,2.3713,0.0285,20,1.0,causal
hr_hrv_eda,UBFC-Phys,all_datasets,balanced_accuracy,0.8252,0.8392,-0.014,-0.466,0.6465,20,1.0,causal
hr_hrv_eda,UBFC-Phys,all_datasets,auroc,0.9556,0.9221,0.0335,2.4131,0.0261,20,1.0,causal
hr_hrv_eda,WESAD,within_dataset,balanced_accuracy,0.8446,0.9158,-0.0712,-2.6391,0.0162,20,0.938,causal
hr_hrv_eda,WESAD,within_dataset,auroc,0.96,0.9768,-0.0169,-1.3342,0.1979,20,1.0,causal
hr_hrv_eda,WESAD,other_datasets_only,balanced_accuracy,0.8407,0.8842,-0.0435,-1.2603,0.2228,20,1.0,causal
hr_hrv_eda,WESAD,other_datasets_only,auroc,0.9343,0.9693,-0.035,-1.5141,0.1465,20,1.0,causal
hr_hrv_eda,WESAD,all_datasets,balanced_accuracy,0.8593,0.9207,-0.0614,-1.6825,0.1088,20,1.0,causal
hr_hrv_eda,WESAD,all_datasets,auroc,0.9502,0.9794,-0.0293,-1.5764,0.1314,20,1.0,causal
